class,source,frequency_hz,q25,median,q75,n_windows,demodulation_hz
OR,llm,144.53125,0.00020551846377506584,0.0003438984865967875,0.0015132266525209105,150,500-2000
OR,llm,148.4375,0.00012477126957243347,0.0002522300390005995,0.001004818602260037,150,500-2000
OR,llm,152.34375,0.00012569272406242536,0.00027262564653945573,0.0010967920437546176,150,500-2000
OR,llm,156.25,0.00011651178988244917,0.0002578179478009654,0.001079680867326769,150,500-2000
OR,llm,160.15625,9.704042355312658e-05,0.00021220246828856172,0.0008983682286383355,150,500-2000
OR,llm,164.0625,0.00011097719241734537,0.00019340189372639844,0.0008822926700623917,150,500-2000
OR,llm,167.96875,0.00012218591899450874,0.0002401216539723152,0.0012049750610115186,150,500-2000
OR,llm,171.875,0.0001316152515331179,0.00024299303639567317,0.0010148354315815769,150,500-2000
OR,llm,175.78125,0.00016310975751441883,0.0002804182685949376,0.0013315610875549375,150,500-2000
OR,llm,179.6875,0.00024802289544042675,0.0005512192900869542,0.0026922976601909503,150,500-2000
OR,llm,183.59375,0.0006918635540867252,0.0011008621038976355,0.005564334109358875,150,500-2000
OR,llm,187.5,0.0004608199803207983,0.0008520411138694319,0.0035533076420143153,150,500-2000
OR,llm,191.40625,0.00017489652444077064,0.0003390210247182374,0.0013843812413091195,150,500-2000
OR,llm,195.3125,0.00014611428207478592,0.00027717600475268443,0.001068317011684347,150,500-2000
OR,llm,199.21875,0.0001223093418408495,0.00027626057116254734,0.0009231334322911264,150,500-2000
OR,llm,203.125,9.480892351758161e-05,0.00022839509169427814,0.0008963637969561957,150,500-2000
OR,llm,207.03125,0.00011231024760151458,0.00019696553135668593,0.0008764064561351828,150,500-2000
OR,llm,210.9375,0.00011067039176316,0.00020389317899042233,0.0009038190199144769,150,500-2000
OR,llm,214.84375,0.00011810723197823416,0.00023557707006404538,0.0011000090091719656,150,500-2000
OR,llm,218.75,0.00012901476973110602,0.00023307901714628284,0.0012403342381790406,150,500-2000
OR,rule,0.0,0.00011805842564120171,0.0002713927819278087,0.0004990715046105764,150,500-2000
OR,rule,3.90625,0.000321726617786243,0.0005108172585706225,0.0007231441882948333,150,500-2000
OR,rule,7.8125,0.0003478699643959732,0.0005171951439526224,0.000763707931696885,150,500-2000
OR,rule,11.71875,0.0003012883501442423,0.0004983848831274919,0.0007027287248390225,150,500-2000
